is,redox_pot,u_is_paw_min_sclr
str,V,eV
LiCoO2,4.03,3.6
LiNiO2,3.26,4.57
LiTiS2,2.19,3.34
LiFePO4,3.72,2.14
LiMnPO4,4.22,2.19
LiCoPO4,4.78,2.81
NaFePO4,3.18,2.19
LiTiO2,2,
LiMn2O4,3,
LiCoO2,3.93,
LiTiO2,1.64,
LiTiS2,1.91,
LiMn2O4,3.63,
LiFePO4,3.51,
NaFePO4,3.1,
NaMnAsO4,3.54,
LiVPO4F,3.93,
KVPO4F,4.01,
Na2FePO4F,4.12,
NaLiCoPO4F,4.26,
KFeSO4F,3.77,
LiVP2O7,3.93,
Na2FeVF7,4.23,
LiCoO2,4,
NaCoO2,3.5,
LiFePO4,3.45,
LiFePO4,,
LiMnPO4,,
NaFePO4,3.1,
LiTiO2,,
LiTiO2,,
TiO2,,
LiTiS2,,
LiTiS2,,
LiTiS2,,
LiNiO2,,
LiCoO2,,
LiMn2O4,,
LiMn2O4,,
LiFePO4,,
NaFePO4,,
LiFePO4,,
LiVPO4F,,
LiFePO4,,
LiMnPO4,,
LiFePO4,,
LiFePO4,,
LiCoO2,4.1,
LiNiO2,3.85,
LiTiS2,2.1,
LiFePO4,3.5,
LiMnPO4,4.1,
LiCoPO4,4.8,
NaFePO4,3,
LiTiO2,1.3,
LiMn2O4,2.95,
